브랜드,상호,주소,군구,위도,경도
스타벅스,역삼아레나빌딩,서울특별시 강남구 언주로 425 (역삼동),강남구,37.501087,127.043069
스타벅스,논현역사거리,서울특별시 강남구 강남대로 538 (논현동),강남구,37.510178,127.022223
스타벅스,신사역성일빌딩,서울특별시 강남구 강남대로 584 (논현동),강남구,37.5139309,127.0206057
스타벅스,국기원사거리,서울특별시 강남구 테헤란로 125 (역삼동),강남구,37.499517,127.031495
스타벅스,대치재경빌딩,서울특별시 강남구 남부순환로 2947 (대치동),강남구,37.494668,127.062583
스타벅스,봉은사역,서울특별시 강남구 봉은사로 619 (삼성동),강남구,37.515000,127.063196
스타벅스,압구정윤성빌딩,서울특별시 강남구 논현로 834 (신사동),강남구,37.5227934,127.0286009
스타벅스,코엑스별마당,서울특별시 강남구 영동대로 513 (삼성동),강남구,37.510150,127.060275
스타벅스,삼성역섬유센터R,서울특별시 강남구 테헤란로 518 (대치동),강남구,37.507750,127.060651
스타벅스,압구정R,서울특별시 강남구 언주로 861 (신사동),강남구,37.5273669,127.033061
스타벅스,수서역R,서울특별시 강남구 광평로 281 (수서동),강남구,37.488008,127.102650
스타벅스,양재강남빌딩R,서울특별시 강남구 남부순환로 2621 (도곡동),강남구,37.485192,127.036685
스타벅스,선릉동신빌딩R,서울특별시 강남구 테헤란로 409 (삼성동),강남구,37.505321,127.050409
스타벅스,봉은사로선정릉,서울특별시 강남구 봉은사로 446 (삼성동),강남구,37.51131683405367,127.04846338902248
스타벅스,강남오거리,서울특별시 강남구 봉은사로2길 39 (역삼동),강남구,37.502117,127.026672
스타벅스,스타필드코엑스몰R,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호,강남구,37.50999,127.061455
스타벅스,강남구청정문,서울특별시 강남구 학동로 419 (청담동),강남구,37.518181,127.045995
스타벅스,도곡공원,서울특별시 강남구 도곡로 205 (역삼동),강남구,37.492805,127.041309
스타벅스,강남R,서울특별시 강남구 강남대로 390 (역삼동),강남구,37.497711,127.028439
스타벅스,대치은마사거리,서울특별시 강남구 도곡로 457 (대치동),강남구,37.498973,127.060172
스타벅스,청담영동대로,서울특별시 강남구 영동대로 720 (청담동),강남구,37.522156,127.056449
스타벅스,압구정,서울특별시 강남구 압구정로30길 17 (신사동),강남구,37.526283,127.02956
스타벅스,신사가로수,서울특별시 강남구 가로수길 59 ,강남구,37.521933,127.022521
스타벅스,청담스타R,서울특별시 강남구 도산대로57길 24 (청담동),강남구,37.525216,127.041827
스타벅스,강남우성,서울특별시 강남구 강남대로 328 (역삼동),강남구,37.492396,127.03091
스타벅스,학동사거리,서울특별시 강남구 도산대로 328 (논현동),강남구,37.52236449999999,127.03795430000002
스타벅스,대치사거리,서울특별시 강남구 삼성로 402 (대치동),강남구,37.503331,127.058817
스타벅스,포스코사거리,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩,강남구,37.5075307,127.05742710000004
스타벅스,을지병원사거리,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)",강남구,37.5191632,127.0286446
스타벅스,신사역,서울특별시 강남구 도산대로 108 (논현동) 렉스타워,강남구,37.5162021,127.0207428
